Year,Industry,Robots_Adopted,Productivity_Gain,Cost_Savings,Jobs_Displaced,Training_Hours
2016,Electronics,7653,26.03,311.66,3226,183
2019,Pharmaceutical,3434,12.52,475.41,1244,396
2024,Energy,6952,15.28,362.76,3200,396
2021,Energy,7967,5.07,24.15,747,154
2022,Electronics,6959,12.86,395.7,279,300
2016,Aerospace,8067,27.24,100.99,1440,71
2023,Construction,8194,20.68,412.14,376,272
2015,Logistics,510,8.98,251.22,46,482
2015,Healthcare,7976,12.91,409.97,775,491
2020,Agriculture,9518,14.07,160.33,3850,215
2025,Aerospace,3927,14.96,18.65,1034,334
2022,Aerospace,5240,28.39,217.07,2222,298
2024,Construction,9154,13.43,255.59,1032,189
2015,Aerospace,9639,12.84,157.81,2863,177
2024,Logistics,4263,7.53,207.44,597,283
2025,Construction,4223,15.17,107.75,1486,447
2023,Aerospace,8237,25.62,375.87,3043,119
2017,Pharmaceutical,3144,20.01,331.11,1131,246
2024,Healthcare,8988,28.76,72.78,292,200
2023,Pharmaceutical,3830,5.65,412.14,1111,201
2015,Agriculture,8723,28.37,164.9,1229,277
2019,Automotive,8890,16.33,302.75,1098,389
2016,Construction,9459,6.95,196.17,2556,55
2023,Energy,545,10.0,210.81,245,154
2023,Electronics,3959,11.13,106.55,1841,100
2025,Pharmaceutical,7521,8.75,6.03,2456,179
2015,Energy,9358,21.61,102.8,1987,153
2018,Healthcare,5953,11.0,490.69,2548,16
2023,Logistics,2210,27.47,373.08,136,245
2020,Automotive,7299,28.99,119.61,3113,31
2022,Electronics,5802,18.83,323.12,1205,231
2015,Food & Beverage,6472,16.17,453.14,237,68
2015,Automotive,2297,19.37,274.28,1127,476
2020,Electronics,611,29.1,94.79,88,44
2025,Agriculture,8204,24.25,184.09,3916,390
2021,Pharmaceutical,6243,26.97,205.21,2243,41
2024,Pharmaceutical,1895,27.22,33.99,21,187
2020,Energy,7919,14.25,404.13,568,256
2024,Aerospace,6511,13.22,438.7,2220,187
2019,Electronics,9445,28.43,162.74,2698,108
2025,Electronics,1775,10.98,475.43,411,108
2020,Energy,2965,8.6,6.26,1302,341
2016,Aerospace,7390,5.71,237.81,110,52
2019,Food & Beverage,9997,17.4,477.07,1203,151
2015,Pharmaceutical,5122,22.6,284.47,2062,257
2023,Agriculture,9029,28.12,273.47,557,338
2025,Construction,4639,26.1,144.56,906,405
2016,Agriculture,5315,26.04,6.23,2325,244
2017,Automotive,8337,10.12,481.95,3971,131
2025,Healthcare,8261,21.98,50.54,1298,467
2025,Energy,2389,27.63,399.09,463,334
2024,Electronics,761,24.97,254.48,264,220
2025,Automotive,3714,18.02,32.1,975,136
2023,Construction,252,7.89,253.73,51,377
2017,Energy,1526,24.35,301.41,168,79
2024,Construction,2340,29.34,131.63,286,68
2025,Food & Beverage,3528,14.82,99.74,83,38
2016,Aerospace,3316,6.92,319.95,506,372
2018,Electronics,5959,21.87,405.82,2686,215
2016,Energy,8207,26.96,394.28,2503,59
2021,Healthcare,6020,22.57,258.43,1240,443
2023,Healthcare,9113,20.77,109.56,2793,205
2016,Energy,2416,22.57,415.64,746,82
2022,Energy,4084,24.36,432.3,1707,364
2021,Food & Beverage,2881,11.73,257.01,189,495
2018,Logistics,1124,11.43,181.9,469,322
2016,Electronics,2153,18.79,401.27,730,176
2018,Construction,9322,13.58,262.56,4107,257
2017,Automotive,7569,25.42,274.79,1459,330
2015,Electronics,3558,9.49,424.29,364,254
2020,Aerospace,3715,15.03,452.04,209,414
2021,Logistics,4258,19.97,403.5,1242,352
2019,Aerospace,1887,5.8,441.24,136,464
2024,Electronics,446,11.26,330.95,216,352
2022,Construction,2212,24.67,314.48,222,252
2018,Automotive,3128,17.36,225.08,48,418
2021,Pharmaceutical,9440,7.07,79.9,4709,488
2024,Logistics,4606,21.44,463.02,2230,275
2024,Logistics,1956,16.29,75.62,351,34
2023,Electronics,5320,12.12,335.29,501,194
2025,Aerospace,8944,17.22,35.89,3749,430
2017,Logistics,5593,20.89,153.0,329,183
2023,Healthcare,6169,27.47,40.47,1415,268
2021,Pharmaceutical,6380,24.15,36.15,2455,304
2023,Pharmaceutical,2693,22.71,384.39,115,39
2024,Pharmaceutical,7309,8.76,223.29,2716,16
2022,Automotive,5979,13.12,18.92,242,55
2019,Aerospace,8152,20.03,470.43,382,205
2021,Healthcare,9565,10.36,142.59,4492,56
2021,Construction,7212,14.41,453.01,512,362
2015,Pharmaceutical,1558,20.43,439.65,181,161
2017,Logistics,719,18.67,28.9,147,347
2020,Automotive,6182,7.38,333.49,2568,370
2021,Food & Beverage,349,26.19,91.09,130,55
2015,Electronics,5084,11.06,483.97,1717,26
2018,Agriculture,9238,27.87,35.66,3659,70
2016,Construction,5807,21.86,379.17,271,225
2018,Agriculture,586,16.08,460.13,230,188
2016,Aerospace,7429,23.24,61.16,1564,247
2015,Agriculture,3099,21.75,289.07,211,217
2018,Food & Beverage,5464,19.34,116.16,1864,191
2020,Food & Beverage,268,11.61,131.77,23,151
2024,Food & Beverage,9902,13.36,199.06,4942,465
2021,Aerospace,2925,20.6,333.74,634,442
2021,Automotive,6617,23.2,190.24,2573,413
2023,Aerospace,8390,22.14,386.68,2253,277
2018,Agriculture,9357,14.97,11.11,3449,33
2017,Aerospace,2862,22.81,15.84,981,19
2016,Pharmaceutical,1890,9.55,136.56,859,84
2017,Construction,1913,16.17,350.83,176,291
2025,Electronics,5520,23.31,285.19,2436,85
2024,Aerospace,5963,29.63,212.75,1554,324
2022,Automotive,5079,15.33,428.26,417,36
2020,Electronics,7437,8.54,377.04,3415,237
2015,Automotive,2234,19.11,117.65,775,395
2018,Pharmaceutical,1301,22.21,240.01,5,241
2018,Construction,6591,6.27,187.51,1108,174
2022,Healthcare,4223,23.26,242.73,1958,183
2022,Healthcare,5067,13.59,289.98,897,141
2024,Energy,1100,13.76,479.23,285,291
2015,Logistics,4414,29.91,455.39,2188,439
2015,Aerospace,127,26.24,117.08,36,20
2023,Aerospace,3666,6.58,217.09,468,55
2025,Food & Beverage,967,25.31,296.16,363,103
2019,Healthcare,5783,17.32,404.36,794,105
2018,Energy,381,19.84,383.72,73,377
2024,Food & Beverage,8693,8.77,152.87,2797,112
2023,Logistics,1770,9.08,485.78,290,476
2019,Construction,7416,13.49,377.17,2525,72
2019,Healthcare,3968,14.97,128.77,1268,226
2024,Food & Beverage,8832,5.08,370.57,3686,55
2025,Healthcare,1106,12.21,181.06,107,486
2021,Construction,7563,14.53,190.77,3510,485
2025,Construction,3327,22.04,21.1,247,292
2024,Healthcare,847,21.94,188.39,113,349
2019,Healthcare,7172,11.0,253.46,157,454
2021,Construction,302,13.06,473.39,69,97
2022,Electronics,5606,5.87,219.4,103,240
2018,Food & Beverage,9597,21.59,180.81,1603,484
2022,Energy,7286,6.4,95.97,1865,98
2017,Energy,3773,13.05,463.21,1271,434
2025,Construction,7857,5.01,408.91,3429,288
2017,Energy,4307,28.53,166.29,1611,326
2017,Agriculture,6586,18.42,304.37,2954,10
2019,Logistics,4110,27.82,455.2,1237,56
2020,Aerospace,1008,15.01,358.2,177,256
2015,Energy,6414,25.73,28.63,3165,127
2024,Logistics,109,19.02,172.58,9,133
2018,Pharmaceutical,9040,29.75,494.45,850,176
2025,Aerospace,6813,26.53,456.02,673,411
2021,Logistics,4204,13.95,347.51,1432,255
2018,Energy,563,24.58,317.95,184,279
2020,Food & Beverage,4110,9.49,478.06,1462,346
2020,Construction,6274,25.24,294.71,2101,301
2016,Energy,2053,19.9,391.09,589,157
2022,Automotive,1357,6.99,5.19,405,62
2025,Healthcare,7718,5.38,368.86,1470,400
2016,Electronics,748,17.23,499.47,38,462
2016,Construction,6876,11.95,19.01,2516,499
2020,Automotive,7004,26.03,40.38,1625,108
2023,Pharmaceutical,3233,5.8,472.24,144,105
2019,Automotive,6175,5.58,479.53,1704,165
2022,Logistics,2914,10.49,109.52,1365,151
2017,Agriculture,5432,22.25,87.59,99,120
2021,Energy,2020,12.87,350.04,911,201
2024,Pharmaceutical,2937,21.73,254.86,103,54
2017,Pharmaceutical,6385,15.21,164.55,2651,316
2018,Construction,7870,11.23,35.63,3343,249
2025,Aerospace,2018,8.65,221.58,289,255
2020,Energy,7330,9.06,457.34,1453,127
2024,Agriculture,3472,24.61,170.88,356,358
2025,Electronics,5483,11.54,433.43,52,173
2022,Logistics,8829,21.89,263.6,703,278
2019,Food & Beverage,2939,27.96,474.25,1303,413
2023,Healthcare,8577,12.51,236.62,2754,317
2023,Aerospace,3787,16.9,100.26,1341,222
2017,Logistics,1881,9.87,155.56,241,393
2017,Agriculture,2551,26.26,48.35,800,275
2023,Electronics,9931,9.61,376.86,2601,294
2015,Food & Beverage,3321,25.38,242.37,1583,87
2023,Aerospace,1334,20.6,309.34,424,476
2021,Aerospace,3003,15.55,183.31,1069,42
2018,Logistics,5283,28.66,330.28,1423,198
2020,Electronics,8257,10.13,48.07,1105,409
2017,Agriculture,2295,8.58,116.64,394,394
2022,Automotive,8396,13.79,165.29,1629,140
2019,Agriculture,9264,21.38,200.94,80,205
2024,Aerospace,8878,11.76,147.79,3053,139
2016,Electronics,7202,19.11,383.08,2999,371
2017,Agriculture,9908,29.15,164.49,4450,83
2015,Pharmaceutical,1305,23.38,365.97,159,487
2018,Aerospace,3753,25.73,5.56,1066,258
2016,Pharmaceutical,9101,14.86,4.06,2315,85
2015,Electronics,6068,13.9,379.99,428,469
2015,Agriculture,581,12.27,164.46,10,257
2022,Food & Beverage,4099,11.7,280.71,206,302
2024,Food & Beverage,4387,11.75,32.81,2050,399
2019,Pharmaceutical,1605,7.22,300.25,800,283
2024,Energy,360,23.68,92.32,97,251
2015,Food & Beverage,3857,21.61,85.24,852,460
2024,Construction,9092,5.82,178.8,1511,251
2016,Healthcare,2129,15.6,58.78,199,246
2017,Healthcare,7730,14.03,457.36,65,238
2021,Construction,4743,20.99,230.6,1728,104
2023,Automotive,7411,27.26,83.65,2001,390
2021,Pharmaceutical,1538,28.53,116.01,321,41
2019,Electronics,8450,17.18,117.21,853,207
2022,Electronics,2473,20.08,315.6,985,158
2025,Aerospace,5297,19.62,339.84,734,331
2016,Agriculture,2204,13.33,490.11,755,326
2024,Agriculture,4945,29.41,142.33,123,244
2016,Agriculture,8656,6.53,155.18,2005,498
2019,Aerospace,4993,5.0,203.14,568,141
2025,Electronics,9250,7.93,345.46,1590,218
2018,Aerospace,1287,26.7,435.9,220,198
2025,Energy,3002,11.31,24.92,1035,61
2020,Construction,2122,27.22,52.72,363,300
2025,Energy,3065,7.16,6.03,128,411
2018,Pharmaceutical,9773,27.28,308.08,2725,313
2016,Energy,3996,24.4,361.43,1614,101
2019,Agriculture,2278,22.15,340.73,133,52
2015,Food & Beverage,2483,12.36,41.31,486,185
2025,Logistics,2014,25.2,478.57,5,402
2019,Construction,5152,10.86,140.89,746,257
2021,Logistics,2791,9.26,152.15,743,299
2025,Agriculture,1098,6.59,102.71,434,485
2022,Logistics,8078,6.19,209.21,2607,80
2024,Electronics,9891,5.43,263.26,2860,282
2018,Energy,9747,6.97,496.07,1705,396
2019,Automotive,2188,5.12,492.1,434,314
2019,Food & Beverage,8016,26.74,179.64,357,292
2017,Food & Beverage,8199,15.3,4.79,2493,264
2016,Aerospace,9889,28.37,318.02,4268,279
2015,Electronics,8269,24.61,16.61,7,214
2017,Logistics,5001,6.6,13.66,1412,154
2022,Energy,9513,10.11,172.37,3852,248
2019,Automotive,2888,15.92,318.03,1439,386
2021,Logistics,7628,14.46,85.59,2493,91
2015,Construction,5123,28.13,435.24,1344,190
2022,Pharmaceutical,9760,10.65,452.45,3057,198
2023,Automotive,1142,18.71,219.08,437,347
2015,Agriculture,4124,24.35,188.81,692,445
2024,Electronics,3439,20.81,326.52,210,32
2018,Pharmaceutical,3624,28.81,216.46,734,207
2021,Healthcare,5992,19.87,423.82,879,309
2024,Pharmaceutical,5304,12.25,79.55,2162,74
2023,Food & Beverage,3812,14.29,445.92,1432,83
2015,Electronics,5867,17.77,258.6,49,398
2015,Food & Beverage,3184,7.27,345.07,914,84
2020,Food & Beverage,3868,28.35,427.49,390,111
2025,Aerospace,9460,17.91,136.02,1451,355
2019,Construction,8980,10.65,194.9,83,76
2017,Pharmaceutical,1803,5.7,392.52,324,362
2021,Agriculture,3440,18.77,105.29,696,380
2015,Agriculture,6129,14.29,441.27,3028,459
2020,Logistics,744,8.39,222.03,270,244
2015,Agriculture,1942,5.42,129.5,650,164
2023,Food & Beverage,3701,6.8,163.09,1300,59
2018,Electronics,7211,6.63,47.96,2577,499
2021,Logistics,8582,19.02,448.07,1007,194
2024,Electronics,9671,16.79,139.72,3643,24
2022,Aerospace,8232,18.32,261.3,666,159
2020,Energy,3881,11.48,485.41,1454,238
2019,Food & Beverage,76,24.38,386.62,27,58
2015,Energy,2740,20.56,310.65,335,467
2025,Aerospace,8472,12.11,170.28,2429,472
